City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Challans,46.84,-1.87,54.0,58,90,5.82,FR,1602865697
Gueugnon,46.6,4.06,51.01,87,90,8.05,FR,1602865697
Marshall,34.38,-86.33,59.0,76,75,8.05,US,1602865697
Shelburne,44.08,-80.2,48.99,49,40,10.85,CA,1602865697
Santa Isabel,-23.32,-46.22,64.4,77,90,8.05,BR,1602865697
Kazygurt,41.76,69.39,59.0,47,0,6.93,KZ,1602865698
Wagar,16.15,36.2,94.82,12,0,8.19,SD,1602865698
Rāvar,31.27,56.81,53.67,29,0,4.81,IR,1602865698
Kinshasa,-4.32,15.32,89.6,52,20,2.24,CD,1602865464
Hīt,33.64,42.83,79.84,21,0,6.64,IQ,1602865698
Musoma,-1.5,33.8,80.6,57,20,11.41,TZ,1602865698
San Ignacio,17.16,-89.07,86.0,74,75,4.7,BZ,1602865699
Omboué,-1.57,9.26,78.21,74,60,9.66,GA,1602865699
Banda Aceh,5.56,95.32,81.77,71,55,12.35,ID,1602865699
Saquisilí,-0.83,-78.67,55.4,76,75,12.75,EC,1602865699
Marzuq,14.4,46.47,74.75,20,0,4.81,YE,1602865699
Tāybād,34.74,60.78,52.57,38,0,11.5,IR,1602865699
Byron Bay,-28.65,153.62,61.0,100,6,5.32,AU,1602865699
Poum,-20.23,164.02,72.91,79,55,7.27,NC,1602865699
Balkhash,46.84,74.98,51.04,49,0,1.77,KZ,1602865700
Superior,46.72,-92.1,39.2,41,90,13.87,US,1602865700
Nago,26.59,127.98,75.2,83,75,8.05,JP,1602865700
Waipawa,-41.41,175.52,51.8,71,100,12.75,NZ,1602865700
Los Llanos de Aridane,28.66,-17.92,71.6,83,75,10.29,ES,1602865700
Aykhal,66.0,111.5,12.2,85,0,6.71,RU,1602865700
Muroto-misakicho,33.28,134.15,68.23,64,98,11.7,JP,1602865700
Damaturu,11.75,11.96,97.23,23,22,8.3,NG,1602865700
Oistins,13.07,-59.53,87.8,74,20,14.99,BB,1602865684
Ihosy,-22.4,46.12,76.15,58,42,9.15,MG,1602865701
Mossamedes,-15.2,12.15,77.0,73,75,18.34,AO,1602865701
Itoman,26.12,127.67,78.8,74,20,8.05,JP,1602865701
Stryn,61.9,6.72,41.0,86,0,5.82,NO,1602865701
Saint-Joseph,-21.37,55.62,75.2,78,75,8.05,RE,1602865701
Roura,4.73,-52.33,91.4,52,1,9.17,GF,1602865701
Daru,-9.08,143.21,76.64,80,96,12.1,PG,1602865701
Mehamn,71.04,27.85,35.6,74,40,11.41,NO,1602865702
Taitung City,22.76,121.14,77.52,77,73,11.81,TW,1602865702
Vrangel',42.73,133.08,49.46,66,50,5.55,RU,1602865702
Phalodi,27.13,72.37,87.94,13,0,11.39,IN,1602865702
Nhulunbuy,-12.23,136.77,73.4,88,100,4.7,AU,1602865702
Virginia Beach,36.85,-75.98,69.01,77,90,13.87,US,1602865513
Abu Dhabi,24.47,54.37,86.0,48,0,5.82,AE,1602865702
San Patricio,28.02,-97.52,64.4,82,90,20.8,US,1602865702
Araouane,18.9,-3.53,102.2,9,0,10.87,ML,1602865702
Strelka,58.07,93.03,30.4,94,100,5.12,RU,1602865703
Jinchang,38.5,102.17,44.49,52,0,2.91,CN,1602865703
Bousso,10.48,16.71,88.56,46,0,3.67,TD,1602865703
Adrar,20.5,-10.07,98.4,11,0,10.33,MR,1602865703
Campoverde,-8.48,-74.81,78.8,83,75,8.05,PE,1602865703
Yerbogachën,61.28,108.01,25.39,93,90,10.98,RU,1602865703
Crotone,39.09,17.12,68.0,45,99,13.87,IT,1602865703
Lakes Entrance,-37.88,147.98,57.0,95,100,10.94,AU,1602865703
Katsuura,35.13,140.3,62.6,67,75,10.29,JP,1602865703
Deputatsky,69.3,139.9,13.57,97,100,8.39,RU,1602865704
Mogocha,53.73,119.77,29.73,95,49,3.98,RU,1602865704
Nelson Bay,-32.72,152.15,64.0,93,90,7.81,AU,1602865704
Trairi,-3.28,-39.27,87.91,51,63,16.06,BR,1602865633
Vardø,70.37,31.11,33.8,80,75,14.99,NO,1602865704
Yinchuan,38.47,106.27,49.71,38,0,4.16,CN,1602865704
La Paz,-16.5,-68.15,53.6,50,75,2.24,BO,1602865636
Sumé,-7.67,-36.88,96.91,14,61,11.79,BR,1602865705
Stornoway,58.21,-6.39,52.0,81,75,4.7,GB,1602865705
Kintampo,8.06,-1.73,85.32,73,98,1.57,GH,1602865705
Northam,51.03,-4.22,53.01,80,55,1.99,GB,1602865705
Perevolotskiy,51.88,54.19,54.07,65,96,7.61,RU,1602865705
Imeni Poliny Osipenko,52.42,136.49,32.29,87,55,7.52,RU,1602865705
Havre-St-Pierre,50.23,-63.6,55.4,76,1,9.17,CA,1602865706
Hambantota,6.12,81.12,78.8,94,100,2.24,LK,1602865706
Buala,-8.14,159.59,80.62,78,38,4.18,SB,1602865706
Port Macquarie,-31.43,152.92,64.0,83,94,2.26,AU,1602865659
Ossora,59.24,163.07,34.97,83,3,10.18,RU,1602865706
Orán,-23.13,-64.33,82.0,47,100,5.99,AR,1602865706
Ygatimi,-24.08,-55.5,89.2,45,58,4.68,PY,1602865706
Vista Hermosa,19.52,-99.22,60.8,51,75,6.93,MX,1602865465
Dumka,24.27,87.25,81.25,76,6,1.43,IN,1602865707
Haines Junction,60.75,-137.51,23.72,90,100,5.41,CA,1602865707
Chipinge,-20.19,32.62,69.19,53,0,6.31,ZW,1602865707
San Juan,-31.54,-68.54,87.4,22,0,10.69,AR,1602865600
Kuldīga,56.97,21.96,44.6,75,90,3.36,LV,1602865707
Furtwangen im Schwarzwald,48.05,8.2,48.99,84,99,4.32,DE,1602865707
Mendeleyevsk,55.91,52.29,55.4,47,98,17.9,RU,1602865707
Souillac,-20.52,57.52,73.4,78,40,4.7,MU,1602865708
El Dorado,38.77,-120.52,77.0,16,1,6.96,US,1602865708
Terra Rica,-22.71,-52.62,84.18,45,98,9.04,BR,1602865708
Kangaatsiaq,68.31,-53.46,41.58,85,100,13.58,GL,1602865708
Nara,34.69,135.8,63.0,68,100,4.59,JP,1602865639
Xining,36.62,101.77,39.4,68,0,1.41,CN,1602865708
Inhambane,-23.86,35.38,80.01,69,0,10.29,MZ,1602865708
Kunda,25.72,81.52,82.89,58,0,4.79,IN,1602865708
Corralillo,22.98,-80.59,84.99,71,0,6.04,CU,1602865709
Grindavik,63.84,-22.43,48.2,76,75,9.17,IS,1602865709
Lanzhou,36.06,103.79,50.0,56,2,2.71,CN,1602865709
Tommot,58.96,126.29,29.05,96,100,14.9,RU,1602865709
Morón,-34.65,-58.62,77.0,64,0,11.41,AR,1602865709
Strezhevoy,60.73,77.59,39.2,86,100,11.18,RU,1602865709
Ust-Kuyga,70.02,135.6,16.23,96,100,5.12,RU,1602865709
Honiara,-9.43,159.95,75.2,94,20,3.36,SB,1602865709
Khonsa,27.02,95.57,67.48,95,1,4.16,IN,1602865710
Shaoxing,30.01,120.57,59.0,93,40,4.47,CN,1602865710
Maceió,-9.67,-35.74,86.0,62,75,14.99,BR,1602865611
Gornyy,55.12,83.91,41.49,84,100,10.31,RU,1602865710
Champerico,14.3,-91.92,84.2,66,20,3.69,GT,1602865710
Sverdlovskiy,55.91,38.15,44.01,86,75,6.71,RU,1602865710
Tuatapere,-46.13,167.68,37.24,88,72,3.06,NZ,1602865710
Vila,42.03,-8.16,61.0,57,86,7.0,PT,1602865710
Madera,37.17,-119.83,78.01,63,1,0.81,US,1602865711
Snezhnogorsk,69.19,33.25,32.0,93,75,4.47,RU,1602865711
Vänersborg,58.38,12.32,46.4,81,4,5.82,SE,1602865711
Angoche,-16.23,39.91,75.9,77,4,12.06,MZ,1602865711
Huron,41.15,-82.55,52.0,55,3,1.99,US,1602865711
Riyadh,24.69,46.72,77.0,31,0,3.89,SA,1602865474
Shrewsbury,52.71,-2.75,50.0,87,75,4.7,GB,1602865582
Esmeraldas,-19.76,-44.31,73.4,73,75,8.05,BR,1602865712
Khasan,42.43,130.64,45.19,64,0,6.51,RU,1602865712
Najrān,17.49,44.13,78.8,16,0,6.93,SA,1602865712
Poplar Bluff,36.76,-90.39,59.0,28,1,5.08,US,1602865712
Yerofey Pavlovich,53.97,121.97,30.85,98,100,4.47,RU,1602865712
Panórama,40.59,23.03,73.99,73,40,6.93,GR,1602865712
Ponta Delgada,37.73,-25.67,69.8,77,75,9.17,PT,1602865712
Kloulklubed,7.04,134.26,78.8,94,75,3.91,PW,1602865713
Lago da Pedra,-4.33,-45.17,99.41,36,77,4.09,BR,1602865713
Alyangula,-13.85,136.42,73.4,100,4,7.54,AU,1602865713
Manakara,-22.13,48.02,72.97,87,4,5.23,MG,1602865713
Vostochnyy,55.82,37.87,44.01,74,40,6.71,RU,1602865713
Mahrīz,31.59,54.43,66.2,8,0,6.93,IR,1602865713
Machalí,-34.18,-70.67,75.65,51,38,5.39,CL,1602865713
Xuanzhou,30.95,118.76,55.08,94,58,2.95,CN,1602865714
Itarantim,-15.66,-40.07,88.27,42,50,6.33,BR,1602865714
Aswān,24.09,32.91,93.63,15,0,12.73,EG,1602865714
Cabedelo,-6.98,-34.83,86.0,58,75,12.75,BR,1602865508
Guane,22.2,-84.09,87.46,64,18,4.85,CU,1602865714
Dikson,73.51,80.55,27.23,97,97,9.8,RU,1602865714
Hudiksvall,61.73,17.1,45.14,78,86,5.01,SE,1602865714
Uglovskoye,51.36,80.19,47.77,52,5,8.19,RU,1602865714
Dandong,40.13,124.39,43.95,61,0,2.39,CN,1602865715
Loum,4.72,9.74,76.8,91,78,2.01,CM,1602865715
Belluno,46.15,12.22,57.2,67,75,1.83,IT,1602865715
Ndélé,8.41,20.65,77.52,82,38,1.92,CF,1602865715
Leshukonskoye,64.9,45.76,33.89,92,100,5.95,RU,1602865715
Itá,-25.48,-57.35,89.6,46,75,11.41,PY,1602865715
Bambous Virieux,-20.34,57.76,75.0,78,40,4.7,MU,1602865715
Bemidji,47.47,-94.88,35.01,65,40,12.75,US,1602865571
Felanitx,39.47,3.15,64.4,52,20,11.41,ES,1602865715
Parrita,9.52,-84.32,80.6,61,20,11.41,CR,1602865716
Puerto Escondido,15.85,-97.07,86.0,66,40,3.36,MX,1602865716
Vostok,46.49,135.88,26.55,92,0,5.55,RU,1602865716
Sibu,2.3,111.82,77.0,94,40,1.12,MY,1602865716
Yārāda,17.65,83.27,78.8,100,75,2.24,IN,1602865716
Benguela,-12.58,13.41,75.2,83,75,5.82,AO,1602865716
Sobolevo,54.43,31.9,40.62,82,55,5.86,RU,1602865716
Ivanovskoye,44.58,41.88,68.0,55,7,8.95,RU,1602865717
Binga,-17.62,27.34,83.52,37,5,6.17,ZW,1602865717
Sayyan,15.17,44.32,61.52,27,0,11.41,YE,1602865717
Farafangana,-22.82,47.83,73.54,86,3,7.34,MG,1602865717
Hofn,64.25,-15.21,48.2,61,47,10.29,IS,1602865717
Abashiri,44.02,144.27,45.0,75,100,3.0,JP,1602865717
Sun Valley,39.6,-119.78,54.0,36,1,2.26,US,1602865575
Sittwe,20.15,92.9,83.95,80,85,2.82,MM,1602865717
Antalaha,-14.9,50.28,73.47,77,0,8.97,MG,1602865718
Torbat-e Jām,35.24,60.62,50.94,40,0,9.84,IR,1602865718
Pangai,-19.8,-174.35,76.41,91,100,21.52,TO,1602865718
Waingapu,-9.66,120.26,78.58,72,55,3.67,ID,1602865718
Gualaquiza,-3.4,-78.55,63.48,91,100,0.56,EC,1602865718
Atasū,48.68,71.64,50.7,44,0,2.15,KZ,1602865718
Erzin,36.96,36.2,78.01,67,3,5.08,TR,1602865718
Joplin,37.08,-94.51,61.0,28,1,9.17,US,1602865718
Kattivākkam,13.22,80.32,86.0,79,40,5.82,IN,1602865719
Nome,64.5,-165.41,37.4,86,90,28.86,US,1602865719
Mayskiy,47.69,40.1,64.4,59,90,4.79,RU,1602865719
Tonantins,-2.87,-67.8,92.71,48,59,3.71,BR,1602865645
